"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","0","testcases","test_beta","Test0202","","","test_login[caseinfo0]",""
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","1","testcases","test_api","TestApi","","","用例名称：注册测试用例","注册接口测试用例"
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","0","testcases","test_beta","Test0202","","","test_register[test1-11]",""
"passed","Thu Feb 27 04:34:03 CST 2025","Thu Feb 27 04:34:03 CST 2025","0","testcases","test_api","TestApi","","","用例名称：验证登录接口成功返回数据","用户的登录接口成功用例"
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","0","testcases","test_beta","Test0202","","","test_login[caseinfo1]",""
"passed","Thu Feb 27 04:34:03 CST 2025","Thu Feb 27 04:34:04 CST 2025","2","testcases","test_api","TestApi","","","用例名称：验证登录接口失败",""
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","0","testcases","test_beta","Test0202","","","test_login[caseinfo2]",""
"passed","Thu Feb 27 04:34:04 CST 2025","Thu Feb 27 04:34:04 CST 2025","0","testcases","test_beta","Test0202","","","test_register[test2-22]",""
